번호,LMS번호,TLP번호,학년,과정,Self_Efficacy,Math_efficacy,내재조절2,확인조절2,부과조절2,외재조절2,RAI2,숙달접근,수행접근,수행회피,숙달회피,수학흥미,주의집중,능동적학습,총점,수학학습전략,인지전략,메타인지전략,총전략점수,정서불안,인지불안,관계불안,일반불안,총불안,부모관계긍정,부모관계부정,전체관계,학원의존
233,6048,22292,6,1,4.22,4.56,2.71,6,2.83,1.67,-5.26,2.83,3,1,3.2,1.11,3,4.2,2.77,3.17,4.33,3.2,3.57,1,1.6,1.6,1,1.3,3.5,3,3.75,3.71
316,7698,22476,4,1,5.11,5.11,5.43,5.5,5.17,1,-9.19,5.67,5.25,2.4,1.2,5.44,5.2,4.2,4.95,3.67,3.67,4.2,3.84,1,1,2,1,1.25,4.5,2.4,4.55,3
594,12192,25060,5,1,4.78,4.44,5.29,5.5,1,1,-13.07,5.33,1,1.4,1.4,3.89,5.4,4.4,4.56,4.17,4.17,5.6,4.64,1,1,1.4,1,1.1,5.75,1.2,5.78,2.43
76,3684,7410,4,1,3.67,2.44,4.14,5.25,2,2,-7.54,4.33,2,4.8,3.4,3.78,3.8,2,3.19,3.67,2.83,3.2,3.23,4,4.6,3,5.2,4.2,4.25,2.4,4.43,4
353,8139,23068,6,1,3.22,4.22,3.71,2.25,2,3.67,-0.35,3.67,1.75,2.2,1.4,4.56,4,3.4,3.99,4.83,2,3,3.28,1,3.8,1,2.4,2.05,1.5,5.2,1.65,2.86
412,9386,120,5,1,4.11,1.78,2,3.25,1.17,1,-4.08,2.17,1,4.4,4.2,1.11,2.4,1.6,1.7,3,2.17,3.4,2.86,5.8,6,1,5.6,4.6,4.25,2,4.63,1.71
66,3664,938,4,1,4.33,3.56,2.71,3.75,2.33,2,-2.85,2.83,2,2,3.2,3,3.2,3,3.07,3.33,3.17,3,3.17,2.4,2.8,2,2,2.3,3.5,2.4,4.05,2.71
730,15340,28779,5,1,3.56,3.56,4.86,5.75,4.17,2,-7.3,4.67,3.25,4.6,2,3.89,4.2,3.8,3.96,5,4.33,4.2,4.51,1.2,3.8,2.8,2.6,2.6,5.25,2.6,4.83,3.57
179,5219,16248,4,1,4.56,2.44,3.43,4.5,1,1,-8.36,3.33,1,1,1,5.11,5.8,3.8,4.9,3.67,2.67,2.6,2.98,1,1,1,1,1,2.25,1,4.13,1.86
626,12793,25358,5,1,4,3.78,3.86,5,3.5,3,-3.21,3.67,3.5,2.6,1.8,3.56,3.8,3.8,3.72,3.33,3.5,3.2,3.34,2.8,3.2,3.2,2.2,2.85,3.5,2.8,3.85,2.14
689,14289,31212,5,1,4.67,4.44,4.29,5.5,3.17,1,-8.9,4.33,2.5,3,2,5.44,4.8,4.6,4.95,5.33,4.33,3.8,4.49,5.2,6,3,3.6,4.45,2.75,1.8,3.98,2.57
309,7596,22460,5,1,4.78,5.33,5.14,6,6,5,-0.29,5,6,2.4,2.4,4.11,5.4,4.6,4.7,5.67,5.17,4,4.94,3.4,4.4,5.2,4,4.25,6,2.2,5.4,4.43
304,7490,14149,5,1,3.78,4.22,3.86,4.5,2.67,4.33,-0.88,3.83,3,3.8,2.8,3.22,4.2,3.6,3.67,4,2.5,3,3.17,1,1,1,1,1,4,3.6,3.7,3.14
224,5936,21430,3,1,3.89,4.56,4.43,5,3.67,2,-6.19,4.33,3.25,2.4,1.6,4.44,4.8,4,4.41,4.67,4.17,4.6,4.48,2.6,2.4,3,2.4,2.6,3,3.6,3.2,3.14
274,6868,9592,5,1,4.44,4,3.86,3.5,2,1.67,-5.88,3.83,2,3.2,2.8,3.11,3.2,3.2,3.17,3.33,3.33,2.8,3.16,1.8,3,2,2.4,2.3,3.5,2.8,3.85,1.57
227,5952,21335,5,1,4.89,4,3.43,3.25,2.5,1,-5.61,3.5,2.25,2,3.4,3,2.8,3.4,3.07,4,3,3,3.33,1.6,2,1.6,1.6,1.7,3,2.6,3.7,2
380,8617,23312,5,1,5.44,5.67,5.43,3,1,1,-10.86,5.33,1,1.2,1.4,4.44,3.6,4.2,4.08,4.83,5.17,4.6,4.87,1,1.2,1,1.2,1.1,3.5,1.4,4.55,1.14
557,11388,24561,5,1,4.89,4.89,5.86,5,3.67,1,-11.05,6,3.25,1.4,1.6,5.33,4.8,4.4,4.84,5.17,3.67,4.6,4.48,1.2,1.2,1.2,1.4,1.25,4.75,1.6,5.08,2.86
256,6577,3652,4,1,5.33,5.56,4.71,4,1.5,1,-9.93,4.83,1.5,1.2,1.4,4.78,2.8,4.2,3.93,4,2.33,1.8,2.71,1,1,1,1,1,4.75,2,4.88,1.57
607,12509,6137,2,1,4.44,3.33,4.14,3.75,3.17,2,-4.87,4.17,2.75,2.6,3,3.67,3.8,3.6,3.69,3.67,3.17,3,3.28,2.6,2.8,2.8,2.6,2.7,4.25,3.2,4.03,3.71
154,4378,21648,4,1,4.67,4,3.43,2.5,1.83,2,-3.52,3.33,1.75,1,2.8,3.44,4.8,3.6,3.95,3.33,3.5,3.6,3.48,1.2,1.6,1,1.4,1.3,4.5,1,5.25,2.43
225,5949,21505,4,1,5.67,4.78,4.71,5.75,3.33,1,-9.85,4.67,2.75,1,1.6,4.44,4,4.2,4.21,4.67,4.5,4.6,4.59,1,1,1.2,1,1.05,5.75,2.2,5.28,3.29
89,3736,7441,5,1,5.33,5,4.71,4,2,1,-9.43,4.67,1.5,2,1.6,4.78,4.2,3.6,4.19,4.33,3.5,3.4,3.74,1.2,1.2,1,1.6,1.25,3.5,1,4.75,2.29
36,3116,1096,6,1,4,4.44,4.29,6,4.17,1.67,-7.07,4,4.5,2,3.2,3.44,3.4,3.4,3.41,3.5,3,2.8,3.1,2.8,3.8,1.8,1.8,2.55,4.25,1.8,4.73,2.14
106,3877,22385,1,1,4.44,4.78,4.14,5.25,1.67,1.33,-9.2,4.33,1,1.4,2,4,4.2,4.6,4.27,4.67,3.83,4.2,4.23,1.6,1.6,2.8,1.2,1.8,5.25,1.6,5.33,3.57
159,4418,22973,4,1,3.56,2.33,2.29,3.5,2.67,4,2.6,2.33,2.25,2.6,4,3.33,3.8,2,3.04,2.67,3,2,2.56,1,1,1,1.8,1.2,3.5,2.2,4.15,1.71
345,8102,22892,6,1,4.33,3.67,4.29,5.5,4.83,3,-3.24,4.33,5,1.8,2.6,3.56,4.2,4.4,4.05,3.5,3.5,3.6,3.53,1,1.8,1,1,1.2,3.75,2.8,3.98,2.43
85,3729,7446,5,1,5,5.11,4.86,6,1.67,1,-12.05,4.83,2,1.8,1.8,5.11,4.6,5,4.9,4,4.17,4,4.06,1,1,1,1,1,3.75,3,3.88,1.71
713,14982,31498,5,1,5.11,4.89,3.43,4.25,3.67,3.33,-0.77,3.5,3.25,2.6,3.8,2.89,4.2,3.2,3.43,4.33,3.5,3.8,3.88,1.2,1.2,1,1.2,1.15,3.75,1,4.88,2.71
715,15015,31559,4,1,4.11,4.22,4,5.25,2.17,2,-7.08,3.83,2.5,2.4,3.4,2.67,3.8,4.8,3.76,3.67,2.83,3.8,3.43,3.8,4.2,3,3.2,3.55,3.75,3.6,3.58,2.71
423,9516,10878,4,1,5.22,4.89,5,5.25,3.33,4,-3.92,5,3.25,1,2.2,3.78,4.6,5.2,4.53,5,4.83,3.8,4.54,2,1,1,1,1.25,5.25,1.2,5.53,2.71
702,14665,31181,3,1,3.33,3.33,3.43,3.75,2.67,2.67,-2.61,3.67,2,3,3.2,2.44,2.6,1.2,2.08,2.67,2.33,3.6,2.87,1.2,1.6,2.2,2.2,1.8,4,2.2,4.4,3.57
305,7496,22273,5,1,5,4.67,5.43,5,5.33,1,-8.52,5.5,5.25,2.2,2.2,5.33,4.8,5.2,5.11,5.17,5.17,5,5.11,1.4,2.2,2,1.8,1.85,3,2.6,3.7,3.43
572,11820,24658,6,1,5.78,5.33,4.86,3.75,1.83,1,-9.63,5,1.5,1.4,1.8,4,4.4,3.8,4.07,4.67,4,4.2,4.29,1,1,1.8,1,1.2,4.75,1.2,5.28,1.71
371,8505,9151,3,1,4.89,5.11,5.29,5,3.67,2.33,-7.24,5.17,3.5,2.2,2.2,4.22,4.4,5.4,4.67,4.5,3.83,4,4.11,2,2.6,2.2,2,2.2,3.25,2.6,3.83,3.71
573,11821,24665,6,1,4,4.22,4.29,4.25,3,2.33,-5.15,4.33,2.75,2.2,2.6,3.33,3.4,3.8,3.51,4.33,3.33,4.2,3.96,2.4,4.8,3.4,4,3.65,3.5,3,3.75,2.57
107,3886,22382,5,1,5,4.78,4.86,5,2.67,1.33,-9.38,4.83,3,2,2.8,3.44,4.4,4,3.95,4.17,3.5,4.4,4.02,2,2,1,2,1.75,5,2.4,4.8,1.57
477,10483,19746,4,1,4.89,4.89,4,4.5,3.17,2,-5.33,4,3.25,1.4,2.6,3,3.2,3.2,3.13,3.17,3.17,3.2,3.18,3,3,3,3,3,3.25,3,3.63,3.29
499,10788,16367,4,1,4.11,4.11,3.29,3,2.83,3.67,0.6,3.17,3,2.8,2.8,2.44,3,3.2,2.88,3.67,3.17,4,3.61,2.8,3.2,3,3.4,3.1,5.5,2.6,4.95,2.43
521,10915,24096,6,1,3.89,4.78,4.14,4.25,2.67,1,-7.87,4.17,1.75,2.4,1.6,4.67,4.8,3.8,4.42,3.67,3,2.4,3.02,1.8,1.4,1.8,1.8,1.7,4.25,1.2,5.03,3.29
26,2943,8892,6,1,2.89,2.11,2.29,4.75,4.33,4,3.01,2.33,4.5,4.8,4,1.44,2.8,2.8,2.35,3.67,2.5,2.6,2.92,4.6,4,1.8,3.6,3.5,5.75,2,5.38,2.14
378,8599,23162,6,1,3.67,3.22,2.71,3.5,2.5,2.33,-1.76,2.83,2.25,2,3.2,3.22,3.2,3.4,3.27,3.33,3.17,3,3.17,2,2,2,2,2,4,1.8,4.6,2.14
23,2879,5946,6,1,4.11,3.67,3.43,4.25,3.33,2.33,-3.11,3.5,3.25,3.6,3.2,3.56,4.4,3.4,3.79,3.5,3.33,3.2,3.34,2.2,2.8,3.2,3,2.8,4,2.2,4.4,3.86
166,4650,22971,4,1,4.89,4.78,4.14,3.25,2.83,4.67,0.63,4.5,2,1.8,2.2,3.67,3.4,4.4,3.82,3.17,3.33,4,3.5,1,1,1,1,1,5,2.4,4.8,2.57
174,4767,9524,6,1,4.33,3.44,4.71,4.25,4.33,1.67,-6.01,4.83,3.75,3.6,2.2,4.11,4,3.4,3.84,4,3.17,3,3.39,3.2,5,2.6,3.4,3.55,3.5,3.2,3.65,3.71
255,6574,3661,5,1,2.78,3,3.14,5.5,3.83,2.67,-2.62,3,3.25,4.8,3,2.67,3.8,3.6,3.36,4.33,3,5.2,4.18,4.4,5.4,4,4,4.45,3.5,2.4,4.05,4
667,13794,29972,5,1,4,4.11,3.71,4.25,3.5,2.67,-2.85,3.67,3,4.4,3.2,4,4.6,3.2,3.93,3.83,3.17,3.8,3.6,4.4,4.2,2.8,4,3.85,3.75,3.2,3.78,4.57
160,4421,22836,4,1,3.56,3.11,2.71,2.75,2.83,3,0.65,2.83,3,3,3.4,3.67,2.6,4.4,3.56,3.33,3.67,3,3.33,3.2,3.2,3.2,3.6,3.3,3.25,3.8,3.23,3.43
343,8097,23161,5,1,4.56,5,3.43,4.75,1.33,1,-8.27,3.17,1,1,2.6,1.33,2.4,2.6,2.11,3.33,1.17,1.6,2.03,1,1.6,1,1,1.15,6,2.6,5.2,2.71
597,12295,25111,5,1,4.33,4.67,4.29,4.25,4.5,3,-2.32,4.5,4.5,3,3.2,3.11,4.8,3.2,3.7,4.17,3.5,3.6,3.76,3,3.6,3.6,3.2,3.35,4,3.6,3.7,4
197,5721,22970,5,1,4,3.33,4.14,4.25,1.67,1.67,-7.54,4.5,1.25,2,3.2,3.89,4,3.2,3.7,4.5,3.67,3.8,3.99,2,2.6,1.6,1.8,2,5,1.6,5.2,2.14
158,4416,22972,4,1,4.11,2.78,2,2.75,1.5,1,-3.25,2,1.25,2.2,1.6,1.44,1.6,2.6,1.88,2.83,2.83,2,2.56,1,1.8,1,1,1.2,2.5,1,4.25,1
611,12525,19796,3,1,4.33,5.33,5,5.75,3.5,1.33,-9.58,5,3.25,1.4,1.6,5.11,5.2,4.2,4.84,4.67,4.33,4.6,4.53,4,4,1.4,1.4,2.7,4.5,1.6,4.95,3.29
642,13266,27570,4,1,5.56,5.56,5.43,6,3.33,3,-7.52,5.33,2.5,1.2,1.8,5.22,5.6,4.6,5.14,5.83,5.67,5,5.5,1.2,2,1.2,1.8,1.55,4.75,2,4.88,2
652,13487,27688,4,1,4.11,4,2,3,4.5,5,7.5,2.17,4.5,1,4.8,1.33,4.4,2,2.58,4.83,3.67,4.4,4.3,5.2,5,4.8,5.6,5.15,3.25,4.4,2.93,2.14
653,13490,28708,4,1,4.56,4.56,3.86,4,3.17,2,-4.55,4,3,2.4,2.6,4.56,4.2,4,4.25,4.17,4,4.2,4.12,2.4,2.6,2.8,2.2,2.5,4,2.6,4.2,3.29
314,7684,329,5,1,4.44,3.44,4.86,5,2.83,2,-7.88,4.83,2.5,3.6,2.2,3,4.4,4.8,4.07,4.5,4.67,4.6,4.59,2.6,4.6,4.2,3.6,3.75,3,3.6,3.2,3.43
699,14590,27683,3,1,5.22,5,5.71,5.5,5.17,1.33,-9.1,5.67,6,3,3.2,4.67,4.4,4.4,4.49,5.33,4.5,3.8,4.54,1,1.2,1.6,1.4,1.3,2.25,1,4.13,3.14
558,11419,24564,5,1,5.11,4.78,4.29,5,2,1,-9.57,4.33,2,1.6,1.6,4.22,4.6,4.2,4.34,4.67,4.33,5,4.67,3,2,2.2,2.2,2.35,5.5,1,5.75,3
261,6718,21798,3,1,4.78,5.44,5.57,5.75,5,2,-7.89,5.67,5.75,1.2,2,5.89,6,5.6,5.83,5.17,5.5,5.6,5.42,1,1,1,1,1,2.5,1,4.25,2.43
598,12303,19963,4,1,4.67,4.11,4.29,5,3.67,1.33,-7.24,4.17,3.75,2.2,2.8,4.11,3.6,4.2,3.97,4.5,3.67,3.8,3.99,2.4,2.8,2.8,2,2.5,4.25,2.6,4.33,3.57
12,2278,5835,6,1,4.44,4.11,4.43,6,6,2.67,-3.52,4.17,6,1,3.4,3.67,5,4,4.22,3.17,3.5,4.2,3.62,1,1,1,1,1,6,1,6,2.43
634,12925,25447,4,1,5.44,4.89,5.43,5.25,4.17,1,-9.94,5.83,4.25,1.2,2,5.67,5.8,5.4,5.62,5.17,3.83,5.2,4.73,1.8,1.8,2.6,2.2,2.1,5.5,2.2,5.15,3.57
442,9905,16305,4,1,5.56,4.78,5.29,5.75,3.17,2.33,-8.49,5.33,3,2.6,2,4.33,4.6,3.6,4.18,4.33,4.17,3.6,4.03,1.8,2.8,1.2,1.2,1.75,3.5,1.6,4.45,2.71
88,3735,7442,5,1,4.89,5.56,5.71,5.5,4.5,1,-10.43,5.67,4.5,1,1.6,5.78,5.8,5.8,5.79,5.67,5.67,5.6,5.64,1.6,1.2,1.2,1.2,1.3,4.75,1,5.38,3.43
55,3321,5927,4,1,4.67,4.22,3.86,5,3.33,1.67,-6.05,3.67,3.25,3,2.2,3.56,4,3.2,3.59,4.5,3.5,4,4,2.6,2.6,2.4,1.8,2.35,3.5,3,3.75,3.57
481,10535,16393,4,1,4.78,4.11,3.43,3.25,2.33,1,-5.77,3.33,2,1.2,2.2,4.11,3.2,4,3.77,4.5,4,3.4,3.97,1.4,1,1.2,1.4,1.25,4.75,1,5.38,1.71
690,14290,31211,3,1,3.89,4,4.43,4.5,2,1.33,-8.69,4.5,1.75,2.2,1.6,4.44,4.2,4,4.21,4.33,4,4.4,4.24,3.2,3.6,2.8,3.2,3.2,3.5,3,3.75,3.57
546,11261,24448,5,1,3.89,2.78,4.71,4.75,3.83,4,-2.35,4.5,3.5,2,3,2.56,3,3,2.85,3.5,3.33,3.8,3.54,2.4,3.8,3.2,2.6,3,2.25,4.2,2.53,3.14
479,10487,19747,4,1,4.33,3.78,4.43,5.75,3.33,1,-9.27,4.17,3,2.6,2.2,3.44,2.8,4.6,3.61,4.83,2.83,3.4,3.69,1.4,2.4,1.6,1.6,1.75,4,2,4.5,3.57
682,14072,30033,5,1,3.33,3.11,3.14,3.25,2.67,3.33,-0.2,3.17,2.5,3.8,3.2,3.22,3,3,3.07,3.5,3.33,3.6,3.48,3.8,3.4,3,3.2,3.35,3.5,3,3.75,3.29
556,11365,24455,5,1,5,4.56,3.57,4,1.5,1,-7.64,3.5,1.25,1.2,1.2,4.33,4.2,3.4,3.98,3.67,3.33,3.4,3.47,1,1,1,1,1,4.25,2,4.63,1.71
592,12190,25014,4,1,2.89,2.44,2.71,4,1.67,3.67,-0.43,2.67,1,2,3.8,1.11,1.4,2.6,1.7,1.17,1.67,2.6,1.81,1,3,2.8,1.4,2.05,2,3.6,2.7,1.43
246,6393,30057,5,1,3.44,3,3,4.75,2.67,1,-6.08,2.83,2.5,1.6,3,2.56,3.4,3.6,3.19,3.5,2.67,4.6,3.59,1.6,1.4,1.8,2,1.7,5,1.4,5.3,2.86
483,10552,23916,5,1,5.89,5.89,6,4.75,2.17,1.33,-11.92,6,1.75,1,1.6,6,6,5.4,5.8,5.67,6,6,5.89,1,1,1,1,1,5.5,1.6,5.45,3.71
142,4300,21710,5,1,2.67,3.11,4.86,6,4.5,1,-9.21,4.83,4.75,4,4.6,3.67,3,3.6,3.42,4.33,2.33,2.6,3.09,3,5.2,1,3.2,3.1,3.25,3.4,3.43,3
608,12522,19814,3,1,2.89,3.44,4.14,4,3.5,3.33,-2.12,4,3.75,3.2,3.2,2.78,2.6,3.2,2.86,3.5,2.67,3.2,3.12,3.2,5.8,4.8,5,4.7,3.5,4,3.25,2.86
651,13467,27670,5,1,4.56,4.33,4,3.5,2.5,2.33,-4.33,4,2,2.8,2.6,3.56,4.4,2.6,3.52,3.17,3.5,3,3.22,2.4,2.2,2,2.4,2.25,4.25,2.4,4.43,2.71
668,13822,30008,5,1,5,5.22,3.29,3.25,2.33,3,-1.49,3.33,2,1.6,1.8,2.56,4,3.6,3.39,3.5,3.33,3.4,3.41,1.8,2.4,1,1.2,1.6,5.5,1.2,5.65,3.29
672,13861,30002,5,1,3.33,3.89,3.71,4.75,3.83,3.33,-1.68,3.67,3.75,3.8,3.8,3.78,3,3,3.26,3.33,3,3.4,3.24,2.2,4.2,2.8,2.4,2.9,3.75,3,3.88,3.57
47,3163,2673,5,1,5.11,5.44,5,5.5,3.67,1.33,-9.17,5,3.5,1.2,1.4,5.22,5.2,4.8,5.07,4.83,5,5.4,5.08,1.4,3,2.4,1.2,2,5.25,1.4,5.43,3.86
25,2914,21259,6,1,4.67,4.78,5.29,5.5,3.83,1.67,-8.9,5.17,3.75,1.6,2,5.56,4.8,3.8,4.72,4,3.83,3.8,3.88,2.4,2.8,2,2.8,2.5,5,1.8,5.1,2.71
533,11056,11947,4,1,5.33,5.67,5.57,4.75,1,1,-12.89,5.83,1,2,2,4,5.8,5.2,5,3.83,5,5,4.61,1,1.2,1,1,1.05,6,1.2,5.9,1.86
570,11785,24748,5,1,6,6,6,5.25,1.83,1,-13.42,6,1,1,1,6,4.4,6,5.47,5.67,5.17,6,5.61,1,1.6,1,1,1.15,3.5,1,4.75,1.86
362,8361,23602,4,1,4.22,3.67,4.57,4.5,3.83,3.33,-3.14,4.33,3.75,3.4,2.6,4.78,4,4.2,4.33,3.5,3.5,3.4,3.47,1.2,2.4,3.8,2.4,2.45,3.25,2.2,4.03,2.71
290,7233,22212,5,1,4.67,4.56,5,5,1.17,1,-11.83,5,1.25,1.4,2,4.78,3.6,3.8,4.06,3.67,3.33,4.2,3.73,1.2,2,1.4,2.2,1.7,3.25,2.2,4.03,1.57
350,8122,13070,4,1,4.33,3.56,3.71,3.5,2,1.33,-6.26,3.67,1.75,1.4,2.8,4.56,4.6,4.4,4.52,3.83,3,3.8,3.54,2.8,2.4,1.8,2.8,2.45,4.75,2,4.88,3.14
635,12954,25210,3,1,5.22,5.22,4,5,2.67,1,-8.33,4.33,2.5,2.4,4.2,3.78,4.2,4,3.99,4.33,3.33,4,3.89,1,1.2,1.4,1.8,1.35,4,2.6,4.2,3
263,6728,21612,5,1,5.67,5.11,5.29,5,2.33,1,-11.24,6,2,1,1,5.89,4.4,5.8,5.36,5,5.67,5.6,5.42,1,1.8,1,1,1.2,4.75,1,5.38,2.43
252,6501,21781,6,1,5.11,5.33,4.86,3,1.17,1.67,-8.21,4.83,1.25,2,2,2.56,4.4,3,3.32,4.17,5,4,4.39,1.2,2,1,1,1.3,6,1.8,5.6,2
545,11255,17492,5,1,3.11,3.67,4,4,3.67,2.33,-3.67,4.17,3.5,3.8,3.2,4,3.6,3.2,3.6,3.33,3.33,2.8,3.16,3.6,3.8,4.2,3.6,3.8,3,3.2,3.4,4
520,10913,23826,5,1,4.89,4.56,4.86,4.5,4,2.33,-5.55,5,4.5,2.4,2,5.11,5,4.8,4.97,5,4.33,4.2,4.51,1,1.4,1.8,1.4,1.4,4.5,2.2,4.65,2.29
374,8513,23054,5,1,3.33,3.78,4.14,5.5,3.5,3.67,-2.95,4.33,3.75,3.4,3.2,2.11,3.8,3.4,3.1,3,2.67,3.4,3.02,2.4,2.8,2.4,2.4,2.5,3,3.8,3.1,4.14
221,5874,21516,4,1,4.44,5,5,3.75,1.17,1,-10.58,5.17,1.25,1,1.2,4.22,3.6,2.6,3.47,4.33,3,2.2,3.18,1.2,1,1,1,1.05,4.5,1.2,5.15,1
648,13399,27639,5,1,4.56,3.67,4.43,3.75,3,2,-5.61,4.33,3,2.6,3.4,2.89,3,3,2.96,3.17,3.33,3.2,3.23,2.2,2.2,2,2,2.1,3.25,2.2,4.03,2.86
312,7659,22487,6,1,5.22,4.56,4.71,3.75,3.17,1.33,-7.35,4.83,2.5,1.6,1.8,4.22,4.6,4.2,4.34,4.17,4.17,3.8,4.04,1.6,2.4,2.4,1.6,2,4.5,1.4,5.05,2.43
235,6081,21575,4,1,4.56,5,5.43,5.5,3.67,2,-8.69,5.67,3.75,1.2,1.6,4.67,5.2,4.2,4.69,5.5,4.33,4,4.61,2.2,2.2,2,2.4,2.2,3.25,1.8,4.23,3.57
214,5795,8731,6,1,3.89,4,3.29,4,3,1.67,-4.24,3.33,2.75,3.4,3.2,3.78,3.4,4,3.73,3.5,3.17,3.8,3.49,2.2,3.4,3.6,3.4,3.15,3.25,3.4,3.43,4
636,12984,25424,4,1,4.33,4.22,3.86,4.75,2.83,1,-7.63,3.83,3.25,1.2,2.6,1.67,2,2.4,2.02,3.67,2.17,2.4,2.74,1.8,1.6,1,1.6,1.5,5.75,2.6,5.08,2.14
236,6082,21576,4,1,5.44,5.33,5.86,5.25,3,1,-11.96,5.83,2.5,1,2.2,4.56,6,4.6,5.05,5.83,5.5,5.4,5.58,2,2.8,1.2,1,1.75,5.25,1.6,5.33,4
541,11119,16465,4,1,5.78,5.78,5.86,6,2.83,1,-12.88,6,2.5,1,2,5.67,5.6,5.4,5.56,5.5,5.17,5.2,5.29,3,2.2,1.4,1.8,2.1,5.5,1,5.75,3.29
216,5801,7696,5,1,3.33,3.78,3.86,4.75,4.67,3.67,-0.46,3.83,5,4.6,3.2,1.78,3.6,2.8,2.73,3.33,3,4,3.44,3.2,4.4,4.6,4,4.05,3.5,4.2,3.15,4.57
222,5900,7565,4,1,5.44,5.89,5.86,5.5,2.17,1,-13.05,5.83,1.75,1,1.4,5.44,6,5.8,5.75,5,5.33,6,5.44,1.8,2,2.8,1,1.9,6,1,6,2.57
20,2616,8889,4,1,3.22,5.11,2.43,1,1,1,-2.86,2.67,1,1,3,3.78,5.6,4,4.46,1,1.83,1,1.28,1,1.6,1,1,1.15,6,1.8,5.6,1.71
637,13050,25251,5,1,4.56,4.89,3.43,3.5,4.5,1,-3.86,3.5,5.25,3,2.8,4.33,3.8,4.6,4.24,3.67,3,4.2,3.62,1,1.4,2.4,1,1.45,4,2.4,4.3,1.57
629,12862,20972,5,1,4.67,4.22,4.57,5.5,1.5,3.33,-6.48,4.67,1.75,1.6,1.8,4.11,3.2,3.8,3.7,3.17,3.17,4.6,3.64,1.8,1.4,1,1,1.3,1.5,3.8,2.35,2.71
630,12863,20973,5,1,3.78,3.89,4,4,2.5,3,-3.5,4.17,1.75,2.8,3.2,3.78,3.8,3,3.53,2.67,2.67,2.8,2.71,4,4.6,2.4,4,3.75,2.25,4.6,2.33,2.57
632,12910,24991,3,1,3.78,2.33,3.43,3.25,5,1,-3.11,3.33,4.75,3.6,3.4,5,3.2,2.6,3.6,2,1.83,2.4,2.08,1.2,2.6,3,2.8,2.4,2.5,2,3.75,3.43
